AcceptedCmp1,AcceptedCmp3,AcceptedCmp4,AcceptedCmp5,Age,Education,Income,Kidhome,MntFishProducts,MntFruits,MntGoldProds,MntMeatProducts,MntSweetProducts,MntWines,NumCatalogPurchases,NumDealsPurchases,NumStorePurchases,NumWebPurchases,NumWebVisitsMonth,Recency,Teenhome,Time_Days_Customer,Marital_Status_Married,Marital_Status_Single,Marital_Status_Together,Marital_Status_Widow
0,0,0,0,40,1,16005,1,20,3,47,2,30,1,1,3,2,2,8,69,0,2745,1,0,0,0
0,0,0,0,55,2,58692,0,4,11,11,61,7,301,2,1,4,8,7,21,1,2145,1,0,0,0
0,0,0,0,50,2,20587,1,4,3,9,6,1,2,1,1,2,1,7,39,0,2110,0,1,0,0
0,0,0,0,66,3,62637,0,4,12,5,48,12,104,2,1,5,2,2,76,1,2181,0,0,0,0
0,0,0,0,54,3,29435,1,4,3,64,37,2,70,2,4,2,3,9,11,1,2753,0,0,0,0
0,0,0,0,46,2,19346,1,3,0,2,9,6,2,0,1,3,1,8,26,0,2211,0,0,0,0
0,0,0,0,49,2,35788,1,3,2,4,11,1,23,0,2,3,2,6,34,1,2218,1,0,0,0
0,0,0,0,52,2,36997,1,8,4,27,12,0,43,1,5,4,2,5,72,1,2574,0,0,0,0
0,0,0,0,63,2,23539,0,16,24,25,11,1,4,0,1,4,2,6,13,0,2182,1,0,0,0
0,0,1,1,47,2,65333,0,0,7,30,92,15,654,4,7,8,9,6,58,1,2224,0,1,0,0
0,0,0,1,63,2,78499,0,47,72,97,170,36,912,3,1,4,11,4,12,0,2279,0,1,0,0
0,0,0,0,49,4,29732,1,0,0,4,8,1,25,0,1,2,2,9,23,0,2157,0,0,1,0
0,0,0,0,60,3,41275,1,0,4,9,22,2,24,1,4,3,3,5,33,2,2158,0,0,1,0
0,0,0,0,47,4,63516,1,15,11,5,114,14,141,1,4,7,4,5,30,1,2419,0,0,1,0
0,0,0,0,58,4,42769,0,3,0,0,13,1,71,1,2,4,1,4,15,1,2321,1,0,0,0
0,0,0,0,62,3,49572,1,0,1,1,16,1,35,0,2,3,2,7,25,1,2257,1,0,0,0
1,0,0,0,48,2,69209,0,229,32,128,849,48,496,3,2,6,5,4,4,0,2711,1,0,0,0
0,0,0,0,44,2,17148,1,13,9,16,11,10,9,1,4,3,3,8,80,0,2213,1,0,0,0
0,1,0,0,51,2,40590,1,6,0,37,50,11,154,4,5,3,3,6,30,1,2331,0,0,0,1
0,0,0,0,44,3,30560,1,4,1,7,5,5,9,0,1,3,1,7,6,0,2428,0,0,1,0
0,0,0,0,37,0,32146,1,4,3,3,23,7,26,0,2,4,2,6,16,0,2109,1,0,0,0
0,0,0,0,56,0,41713,1,10,8,25,44,10,77,1,5,4,3,6,57,1,2122,0,0,0,0
0,0,0,0,45,3,34176,0,4,2,2,7,2,11,0,1,3,1,3,9,1,2219,0,0,1,0
0,0,1,0,65,4,58482,0,19,7,7,115,7,576,4,2,9,7,6,59,1,2170,1,0,0,0
0,0,0,0,55,2,59686,0,34,15,5,89,42,89,1,1,6,4,4,78,1,2216,0,1,0,0
0,0,0,0,56,4,60896,0,60,30,153,399,46,1013,10,3,4,9,6,90,1,2687,1,0,0,0
0,0,0,0,40,2,62994,1,4,12,12,48,12,224,2,1,4,6,6,74,0,2178,0,0,1,0
0,0,0,0,63,2,47320,0,50,19,19,111,15,200,1,6,8,5,6,10,1,2393,0,0,1,0
1,0,0,0,71,0,74859,0,133,73,73,614,102,570,5,1,11,6,3,63,0,2452,0,0,0,1
0,0,0,0,28,1,15253,1,8,3,13,3,1,1,0,2,3,1,7,13,0,2305,0,1,0,0
0,0,0,0,46,4,31560,1,4,1,7,20,0,62,1,2,3,2,8,98,0,2431,0,1,0,0
0,0,0,0,66,2,72071,0,150,69,150,300,138,531,4,3,8,5,2,4,1,2561,0,0,0,0
1,1,0,1,30,3,91172,0,0,28,56,818,28,162,3,0,7,4,3,94,0,2520,0,1,0,0
1,1,0,1,36,2,90000,0,94,144,241,133,192,675,8,1,5,4,1,91,0,2249,1,0,0,0
0,0,0,0,39,2,41967,1,0,4,15,10,2,23,0,1,3,1,4,66,1,2279,0,1,0,0
0,0,1,0,55,2,69263,0,13,5,21,32,5,492,1,1,7,9,6,14,1,2177,0,1,0,0
0,0,1,1,50,0,65706,0,13,10,129,129,0,918,3,1,12,11,7,77,0,2427,0,0,0,0
0,0,0,0,45,2,60934,0,192,155,54,155,93,224,4,2,11,6,4,41,1,2224,0,0,1,0
