name,salinity,January_temp,June_temp,area,latitude,longitude,type of sea,corals,silt/sulfide
Adriatic Sea,38.29852676391602,15.65879917144775,20.85529899597168,138000,43,15,2,1,0
Adriatic Sea,38.30490875244141,16.29709815979004,19.50119972229004,138000,43,15,2,1,0
Adriatic Sea,38.46203994750977,16.2515983581543,19.02849960327148,138000,43,15,2,1,0
Adriatic Sea,38.12160110473633,15.70950031280518,22.88299942016602,138000,43,15,2,1,0
Adriatic Sea,38.51919555664062,15.73340034484863,21.82479858398438,138000,43,15,2,1,0
Adriatic Sea,38.06021499633789,16.13659858703613,18.58670043945312,138000,43,15,2,1,0
Adriatic Sea,38.49729537963867,16.24869918823242,21.00250053405762,138000,43,15,2,1,0
Adriatic Sea,38.3340950012207,16.15019798278809,21.45909881591797,138000,43,15,2,1,0
Adriatic Sea,38.50857925415039,15.6919002532959,23.53389739990234,138000,43,15,2,1,0
Adriatic Sea,38.33076095581055,16.23299980163574,18.5901985168457,138000,43,15,2,1,0
Adriatic Sea,38.43889617919922,16.23059844970703,20.5906982421875,138000,43,15,2,1,0
Adriatic Sea,38.48653411865234,15.4749002456665,23.76440048217773,138000,43,15,2,1,0
Adriatic Sea,38.38568496704102,16.3018970489502,21.28879928588867,138000,43,15,2,1,0
Adriatic Sea,38.41160202026367,15.73089981079102,23.69750022888184,138000,43,15,2,1,0
Adriatic Sea,38.16354370117188,15.5439977645874,23.75709915161133,138000,43,15,2,1,0
Adriatic Sea,38.32350158691406,15.71049880981445,23.9055004119873,138000,43,15,2,1,0
Adriatic Sea,38.22809982299805,16.19179725646973,21.00889778137207,138000,43,15,2,1,0
Adriatic Sea,38.40431213378906,16.20009803771973,21.46189880371094,138000,43,15,2,1,0
Adriatic Sea,38.00241470336914,15.66829967498779,23.82899856567383,138000,43,15,2,1,0
Adriatic Sea,38.3143196105957,15.61329936981201,23.92119789123535,138000,43,15,2,1,0
Adriatic Sea,38.14597702026367,9.5,24.7,138000,43,15,2,1,0
Adriatic Sea,38.46493148803711,10.8,23.2,138000,43,15,2,1,0
Adriatic Sea,38.44629287719727,13.8,24.6,138000,43,15,2,1,0
Adriatic Sea,38.22260665893555,14.4,20.8,138000,43,15,2,1,0
Adriatic Sea,38.31848526000977,15.5,24.0,138000,43,15,2,1,0
Adriatic Sea,38.36925888061523,11.6,23.1,138000,43,15,2,1,0
Adriatic Sea,38.36457443237305,8.9,22.9,138000,43,15,2,1,0
Adriatic Sea,38.14266204833984,8.1,23.7,138000,43,15,2,1,0
Adriatic Sea,38.38327026367188,8.6,24.8,138000,43,15,2,1,0
Adriatic Sea,38.40863800048828,8.0,24.8,138000,43,15,2,1,0
Adriatic Sea,38.26939392089844,9.5,24.7,138000,43,15,2,1,0
Adriatic Sea,38.36960983276367,10.8,23.2,138000,43,15,2,1,0
Adriatic Sea,38.34692764282227,13.8,24.6,138000,43,15,2,1,0
Adriatic Sea,38.40232849121094,14.4,20.8,138000,43,15,2,1,0
Adriatic Sea,38.31468200683594,15.5,24.0,138000,43,15,2,1,0
Adriatic Sea,38.30448913574219,11.6,23.1,138000,43,15,2,1,0
Adriatic Sea,38.4247932434082,8.9,22.9,138000,43,15,2,1,0
Adriatic Sea,38.26358795166016,8.1,23.7,138000,43,15,2,1,0
Adriatic Sea,38.53382873535156,8.6,24.8,138000,43,15,2,1,0
Adriatic Sea,37.93369674682617,8.0,24.8,138000,43,15,2,1,0
Adriatic Sea,38.49713134765625,9.5,24.7,138000,43,15,2,1,0
Adriatic Sea,37.77801895141602,10.8,23.2,138000,43,15,2,1,0
Adriatic Sea,38.48551940917969,13.8,24.6,138000,43,15,2,1,0
Adriatic Sea,37.88616561889648,14.4,20.8,138000,43,15,2,1,0
Adriatic Sea,38.25508880615234,15.5,24.0,138000,43,15,2,1,0
Adriatic Sea,37.91485595703125,11.6,23.1,138000,43,15,2,1,0
Adriatic Sea,38.22842407226562,8.9,22.9,138000,43,15,2,1,0
Adriatic Sea,38.44874954223633,8.1,23.7,138000,43,15,2,1,0
Adriatic Sea,38.33938980102539,8.6,24.8,138000,43,15,2,1,0
Aegean Sea,37.7447624206543,16.53818130493164,21.12,214000,39,25,2,1,0
Aegean Sea,38.65240097045898,16.97110939025879,19.8775749206543,214000,39,25,2,1,0
Aegean Sea,38.52303314208984,16.70808029174805,20.61666679382324,214000,39,25,2,1,0
Aegean Sea,37.79945373535156,16.48979759216309,20.94858551025391,214000,39,25,2,1,0
Aegean Sea,38.64493179321289,17.16686630249023,19.89888763427734,214000,39,25,2,1,0
Aegean Sea,37.5208625793457,16.95535087585449,21.18474578857422,214000,39,25,2,1,0
Aegean Sea,38.70151519775391,17.1609058380127,19.82171630859375,214000,39,25,2,1,0
Aegean Sea,38.49916458129883,16.66020011901855,20.6275749206543,214000,39,25,2,1,0
Aegean Sea,38.54247283935547,16.60767555236816,21.53413963317871,214000,39,25,2,1,0
Aegean Sea,38.32334899902344,16.65070533752441,21.20949363708496,214000,39,25,2,1,0
